id,texto_pregunta,categoria,dificultad
1,¿Qué selección ganó el Mundial 2010?,Mundiales,Facil
2,¿Qué país organiza el Mundial?,Mundiales,Facil
3,¿Qué jugador es apodado La Pulga?,Jugadores,Facil
4,¿Qué jugador es conocido como CR7?,Jugadores,Facil
5,¿Cuál es el deporte más popular del mundo?,General,Facil
6,¿Cuántos tiempos tiene un partido de fútbol?,Reglas,Facil
7,¿Cuántos jugadores tiene un equipo?,Reglas,Facil
8,¿Qué selección es conocida como La Canarinha?,Selecciones,Facil
9,¿Cuál es el color principal del Barça?,Clubes,Facil
10,¿Cuál es el color principal del Real Madrid?,Clubes,Facil
11,¿Qué país ganó el Mundial 2014?,Mundiales,Facil
12,¿Qué selección usa camiseta celeste?,Selecciones,Facil
13,¿Quién ganó el Mundial 2002?,Mundiales,Facil
14,¿Qué país ganó el Mundial 1998?,Mundiales,Facil
15,¿Qué club es conocido como Los Red Devils?,Clubes,Facil
16,¿Qué equipo es conocido como Los Blues?,Clubes,Facil
17,¿En qué país nació Messi?,Jugadores,Facil
18,¿En qué país nació Cristiano Ronaldo?,Jugadores,Facil
19,¿Cuál es el clásico español más conocido?,Clubes,Facil
20,¿Qué selección es conocida como La Albiceleste?,Selecciones,Facil
21,¿Cuántos minutos dura un tiempo?,Reglas,Facil
22,¿Qué selección ganó el Mundial 1958?,Mundiales,Facil
23,¿Qué jugador ganó el Balón de Oro 2021?,Jugadores,Facil
24,¿Dónde juega de local el Barcelona?,Clubes,Facil
25,¿Dónde juega de local el Real Madrid?,Clubes,Facil
26,¿Cuál es el país sede de la Conmebol?,Selecciones,Facil
27,¿Qué selección ganó la Eurocopa 2016?,Selecciones,Facil
28,¿Qué país ganó la Copa América 2021?,Selecciones,Facil
29,¿Quién anotó el gol de la Mano de Dios?,Historia,Facil
30,¿Qué jugador es conocido como O Rei?,Jugadores,Facil
31,¿Qué color usa la Juventus?,Clubes,Facil
32,¿Qué selección es conocida como La Roja?,Selecciones,Facil
33,¿Qué selección ganó la Euro 2008?,Selecciones,Facil
34,¿Qué selección ganó la Copa América 2019?,Selecciones,Facil
35,¿Cuántos árbitros hay en un partido?,Reglas,Facil
36,¿Qué país ganó el Mundial 1970?,Mundiales,Facil
37,¿En qué país nació Neymar?,Jugadores,Facil
38,¿Quién es el máximo goleador del Barcelona?,Clubes,Facil
39,¿De qué país es Luis Suárez?,Jugadores,Facil
40,¿Qué club usa camiseta amarilla?,Clubes,Facil
41,¿En qué confederación juega Brasil?,Selecciones,Facil
42,¿En qué confederación juega España?,Selecciones,Facil
43,¿Qué club es conocido como Los Gunners?,Clubes,Facil
44,¿Qué país ganó el Mundial 2006?,Mundiales,Facil
45,¿En qué año se jugó el primer Mundial?,Historia,Facil
46,¿Qué selección ganó el primer Mundial?,Historia,Facil
47,¿Quién es el arquero titular?,Reglas,Facil
48,¿Qué selección usa camiseta verde?,Selecciones,Facil
49,¿Cuál es el balón oficial?,General,Facil
50,¿Qué equipo tiene más Champions?,Clubes,Facil
51,¿Qué club es conocido como Colchoneros?,Clubes,Facil
52,¿Qué jugador es apodado El Niño?,Jugadores,Facil
53,¿Qué selección ganó el Mundial 2018?,Mundiales,Facil
54,¿Qué país es sede de la FIFA?,General,Facil
55,¿Qué jugador es conocido como El Tigre?,Jugadores,Facil
56,¿Qué país ganó la Copa América 2015?,Selecciones,Facil
57,¿Qué selección usa la camiseta amarilla con azul?,Selecciones,Facil
58,¿Quién es el máximo goleador histórico de Brasil?,Selecciones,Facil
59,¿Qué país ganó el Mundial 1962?,Mundiales,Facil
60,¿Qué equipo usa camiseta rojiblanca?,Clubes,Facil
